Date,Open,High,Low,Close,Adj Close,Volume
2004-06-08,276.554108,282.699768,276.554108,282.699768,136.804504,246936981
2004-06-09,282.699768,294.991058,282.699768,294.991058,142.752487,274940543
2004-06-10,288.845398,301.136688,288.845398,294.991058,142.752487,225964820
2004-06-11,294.991058,301.136688,288.845398,294.991058,142.752487,150484564
2004-06-14,282.699768,282.699768,270.408478,276.554108,141.494766,48613677
2004-06-15,276.554108,282.699768,270.408478,282.699768,144.639114,237767890
2004-06-16,282.699768,282.699768,276.554108,282.699768,144.639114,59151624
2004-06-17,276.554108,276.554108,270.408478,276.554108,141.494766,59188236
2004-06-18,270.408478,270.408478,258.117157,264.262817,135.206131,137491628
2004-06-21,264.262817,270.408478,258.117157,270.408478,138.350449,44913904
2004-06-22,270.408478,270.408478,264.262817,270.408478,138.350449,59936733
2004-06-23,270.408478,276.554108,264.262817,270.408478,138.350449,78266780
2004-06-24,270.408478,276.554108,264.262817,276.554108,141.494766,79196300
2004-06-25,276.554108,282.699768,270.408478,282.699768,144.639114,80174635
2004-06-28,282.699768,288.845398,276.554108,288.845398,147.783401,161006239
2004-06-29,282.699768,288.845398,276.554108,288.845398,147.783401,14225516
2004-06-30,288.845398,288.845398,282.699768,288.845398,147.783401,94514053
2004-07-01,288.845398,294.991058,282.699768,294.991058,150.927750,104490627
2004-07-02,288.845398,301.136688,288.845398,294.991058,150.927750,216567924
2004-07-05,294.991058,294.991058,294.991058,294.991058,150.927750,0
2004-07-06,301.136688,319.573639,301.136688,319.573639,163.505081,316295017
2004-07-07,313.427979,319.573639,307.282349,313.427979,160.360748,89709839
2004-07-08,307.282349,313.427979,301.136688,307.282349,157.216415,82879802
2004-07-09,301.136688,307.282349,301.136688,307.282349,157.216415,136871270
2004-07-12,307.282349,313.427979,301.136688,307.282349,157.216415,86252107
2004-07-13,301.136688,307.282349,301.136688,307.282349,157.216415,33969165
2004-07-14,301.136688,307.282349,288.845398,294.991058,150.927750,104214008
2004-07-15,294.991058,301.136688,288.845398,294.991058,150.927750,70102465
2004-07-16,294.991058,301.136688,288.845398,301.136688,154.072067,71066562
2004-07-19,301.136688,301.136688,288.845398,294.991058,150.927750,64767388
2004-07-20,294.991058,301.136688,294.991058,301.136688,154.072067,69496345
2004-07-21,301.136688,307.282349,294.991058,307.282349,157.216415,93360797
2004-07-22,301.136688,307.282349,301.136688,307.282349,157.216415,47541781
2004-07-23,301.136688,307.282349,301.136688,307.282349,157.216415,24238701
2004-07-26,307.282349,307.282349,294.991058,307.282349,157.216415,122019294
2004-07-27,307.282349,307.282349,301.136688,307.282349,157.216415,32748789
2004-07-28,307.282349,307.282349,301.136688,307.282349,157.216415,45979699
2004-07-29,307.282349,307.282349,301.136688,307.282349,157.216415,43331483
2004-07-30,307.282349,307.282349,301.136688,307.282349,157.216415,43392502
2004-08-02,301.136688,307.282349,301.136688,307.282349,157.216415,7674131
2004-08-03,307.282349,313.427979,301.136688,313.427979,160.360748,135986497
2004-08-04,307.282349,313.427979,307.282349,313.427979,160.360748,67934264
2004-08-05,307.282349,313.427979,307.282349,307.282349,157.216415,121714200
2004-08-06,307.282349,307.282349,301.136688,307.282349,157.216415,1234613
2004-08-09,301.136688,307.282349,294.991058,301.136688,154.072067,50964935
2004-08-10,301.136688,307.282349,301.136688,307.282349,157.216415,20260275
2004-08-11,301.136688,307.282349,294.991058,307.282349,157.216415,200259633
2004-08-12,307.282349,307.282349,301.136688,307.282349,157.216415,115634693
2004-08-13,301.136688,301.136688,294.991058,301.136688,154.072067,50108638
2004-08-16,294.991058,301.136688,294.991058,301.136688,154.072067,15437756
2004-08-17,301.136688,301.136688,301.136688,301.136688,154.072067,0
2004-08-18,301.136688,301.136688,294.991058,301.136688,154.072067,18482594
2004-08-19,294.991058,301.136688,294.991058,301.136688,154.072067,42680616
2004-08-20,301.136688,301.136688,294.991058,301.136688,154.072067,14306874
2004-08-23,294.991058,301.136688,294.991058,294.991058,150.927750,62957163
2004-08-24,294.991058,294.991058,282.699768,288.845398,147.783401,198288726
2004-08-25,288.845398,288.845398,282.699768,288.845398,147.783401,38478455
2004-08-26,288.845398,301.136688,288.845398,301.136688,154.072067,133840669
2004-08-27,294.991058,307.282349,294.991058,307.282349,157.216415,329560504
2004-08-30,301.136688,313.427979,301.136688,313.427979,160.360748,59662148
2004-08-31,313.427979,319.573639,307.282349,307.282349,157.216415,212369831
2004-09-01,307.282349,319.573639,307.282349,319.573639,163.505081,208847012
2004-09-02,319.573639,331.864929,313.427979,325.719299,166.649414,368323714
2004-09-03,331.864929,338.010590,325.719299,331.864929,169.793732,146603768
2004-09-06,331.864929,344.156219,331.864929,338.010590,172.938080,216602502
2004-09-07,344.156219,344.156219,338.010590,344.156219,176.082382,110380975
2004-09-08,344.156219,344.156219,331.864929,344.156219,176.082382,99293859
2004-09-09,344.156219,350.301880,319.573639,344.156219,176.082382,610680218
2004-09-10,344.156219,350.301880,338.010590,350.301880,179.226730,225332258
2004-09-13,350.301880,350.301880,350.301880,350.301880,179.226730,0
2004-09-14,350.301880,362.593170,344.156219,350.301880,179.226730,233569796
2004-09-15,350.301880,362.593170,344.156219,356.447510,182.371048,287241933
2004-09-16,356.447510,356.447510,344.156219,356.447510,182.371048,77103355
2004-09-17,356.447510,356.447510,344.156219,356.447510,182.371048,208202247
2004-09-20,356.447510,356.447510,356.447510,356.447510,182.371048,0
2004-09-21,356.447510,362.593170,350.301880,362.593170,185.515442,359976342
2004-09-22,362.593170,362.593170,350.301880,356.447510,182.371048,115034675
2004-09-23,356.447510,362.593170,356.447510,362.593170,185.515442,110159273
2004-09-24,356.447510,362.593170,356.447510,362.593170,185.515442,84663585
2004-09-27,362.593170,362.593170,350.301880,356.447510,182.371048,69431258
